name	pronounciation	frequency	similarWords	meaningShort	meaningLong	meaningOther	soundUrl	exampleSoundUrl
good	218	103	0	0	0	0	0	
fly	193	851	0	0	0	0	0	
battery	3339	2819	0	0	0	0	0	
arrival	1699	2820	0	0	0	0	0	
legitimate	4689	2821	0	0	0	0	0	
orientation	10361	2822	0	0	0	0	0	
inflation	1072	2823	0	0	0	0	0	
cope	1952	2824	0	0	0	0	0	
flame	4200	2825	0	0	0	0	0	
cluster	3597	2826	0	0	0	0	0	
host	245	1652	0	0	0	0	0	
wound	0	2827	0	0	0	0	0	
dependent	3852	2828	0	0	0	0	0	
shower	5533	2829	0	0	0	0	0	
institutional	4574	2830	0	0	0	0	0	
depict	3853	2831	0	0	0	0	0	
operating	10329	2832	0	0	0	0	0	
flesh	4204	2833	0	0	0	0	0	
garage	4287	2834	0	0	0	0	0	
operator	2537	2835	0	0	0	0	0	
instructor	4576	2836	0	0	0	0	0	
collapse	771	2837	0	0	0	0	0	
borrow	1781	2838	0	0	0	0	0	
furthermore	4280	2839	0	0	0	0	0	
comedy	1885	2840	0	0	0	0	0	
mortgage	1164	2841	0	0	0	0	0	
sanction	1373	2842	0	0	0	0	0	
civilian	1861	2843	0	0	0	0	0	
twelve	554	2844	0	0	0	0	0	
weekly	3094	2845	0	0	0	0	0	
habitat	4387	2846	0	0	0	0	0	
grain	2223	2847	0	0	0	0	0	
brush	1798	2848	0	0	0	0	0	
consciousness	1923	2849	0	0	0	0	0	
devote	3884	2850	0	0	0	0	0	
crack	0	2656	0	0	0	0	0	
measurement	4805	2851	0	0	0	0	0	
province	2683	2852	0	0	0	0	0	
ease	2059	2853	0	0	0	0	0	
seize	2818	2854	0	0	0	0	0	
ethics	0	2855	0	0	0	0	0	
nomination	4928	2856	0	0	0	0	0	
permission	2593	2857	0	0	0	0	0	
wise	3110	2858	0	0	0	0	0	
actress	1634	2859	0	0	0	0	0	
summit	1488	2860	0	0	0	0	0	
acid	1627	2861	0	0	0	0	0	
odds	4960	2862	0	0	0	0	0	
gifted	8697	2863	0	0	0	0	0	
frustration	0	2864	0	0	0	0	0	
medium	2447	2865	0	0	0	0	0	
function	1005	1298	0	0	0	0	0	
physically	0	2866	0	0	0	0	0	
grant	1022	1705	0	0	0	0	0	
distinguish	3955	2867	0	0	0	0	0	
shore	2841	2868	0	0	0	0	0	
repeatedly	5354	2869	0	0	0	0	0	
lung	4759	2870	0	0	0	0	0	
firm	190	818	0	0	0	0	0	
running	1369	2871	0	0	0	0	0	
correct	803	1613	0	0	0	0	0	
distinct	3952	2872	0	0	0	0	0	
artistic	3261	2873	0	0	0	0	0	
discourse	7839	2874	0	0	0	0	0	
basket	3331	2875	0	0	0	0	0	
ah	1654	2876	0	0	0	0	0	
fighting	0	2877	0	0	0	0	0	
impressive	2293	2878	0	0	0	0	0	
competitor	1900	2879	0	0	0	0	0	
ugly	5907	2880	0	0	0	0	0	
worried	3115	2881	0	0	0	0	0	
portray	5149	2882	0	0	0	0	0	
powder	5159	2883	0	0	0	0	0	
ghost	4309	2884	0	0	0	0	0	
persuade	2600	2885	0	0	0	0	0	
moderate	2473	2886	0	0	0	0	0	
subsequent	2924	2887	0	0	0	0	0	
continued	0	2888	0	0	0	0	0	
cookie	7428	2889	0	0	0	0	0	
carrier	1824	2890	0	0	0	0	0	
cooking	1951	2891	0	0	0	0	0	
frequent	999	2892	0	0	0	0	0	
ban	691	2893	0	0	0	0	0	
swing	2954	2185	0	0	0	0	0	
orange	1212	2780	0	0	0	0	0	
awful	1722	2894	0	0	0	0	0	
admire	1640	2895	0	0	0	0	0	
pet	2602	2896	0	0	0	0	0	
miracle	4841	2897	0	0	0	0	0	
exceed	4120	2898	0	0	0	0	0	
rhythm	2774	2899	0	0	0	0	0	
widespread	3105	2900	0	0	0	0	0	
killing	2363	2901	0	0	0	0	0	
lovely	2414	2902	0	0	0	0	0	
sin	5554	2903	0	0	0	0	0	
charity	1842	2904	0	0	0	0	0	
script	2815	2905	0	0	0	0	0	
tactic	2962	2906	0	0	0	0	0	
identification	4498	2907	0	0	0	0	0	
transformation	0	2908	0	0	0	0	0	
everyday	4111	2909	0	0	0	0	0	
headline	2240	2910	0	0	0	0	0	
crash	810	2507	0	0	0	0	0	
venture	3067	2911	0	0	0	0	0	
invasion	2330	2912	0	0	0	0	0	
military	318	436	0	0	0	0	0	
nonetheless	4930	2913	0	0	0	0	0	
adequate	1638	2914	0	0	0	0	0	
piano	5103	2915	0	0	0	0	0	
grocery	8803	2916	0	0	0	0	0	
intensity	0	2917	0	0	0	0	0	
exhibit	4133	2918	0	0	0	0	0	
high	237	130	0	0	0	0	0	
blanket	3373	2919	0	0	0	0	0	
margin	2431	2920	0	0	0	0	0	
principal	2665	2760	0	0	0	0	0	
quarterback	0	2921	0	0	0	0	0	
mouse	4880	2922	0	0	0	0	0	
rope	5417	2923	0	0	0	0	0	
concrete	1915	2924	0	0	0	0	0	
prescription	5185	2925	0	0	0	0	0	
chase	1845	2926	0	0	0	0	0	
document	874	1253	0	0	0	0	0	
brick	3426	2927	0	0	0	0	0	
recruit	2724	2928	0	0	0	0	0	
patch	5052	2929	0	0	0	0	0	
consensus	3689	2930	0	0	0	0	0	
horror	2269	2931	0	0	0	0	0	
recording	2721	2932	0	0	0	0	0	
changing	0	2933	0	0	0	0	0	
painter	5025	2934	0	0	0	0	0	
colonial	3616	2935	0	0	0	0	0	
pie	5105	2936	0	0	0	0	0	
sake	0	2937	0	0	0	0	0	
gaze	4295	2938	0	0	0	0	0	
courage	1965	2939	0	0	0	0	0	
pregnancy	2652	2940	0	0	0	0	0	
swear	5752	2941	0	0	0	0	0	
defeat	839	2942	0	0	0	0	0	
clue	3596	2943	0	0	0	0	0	
reinforce	5328	2944	0	0	0	0	0	
win	593	331	0	0	0	0	0	
confusion	3679	2945	0	0	0	0	0	
slice	2857	2946	0	0	0	0	0	
occupation	2528	2947	0	0	0	0	0	
dear	1997	2948	0	0	0	0	0	
coal	1872	2949	0	0	0	0	0	
sacred	5431	2950	0	0	0	0	0	
criminal	814	1744	0	0	0	0	0	
formula	2178	2951	0	0	0	0	0	
cognitive	7231	2952	0	0	0	0	0	
collective	1877	2953	0	0	0	0	0	
exact	935	2954	0	0	0	0	0	
uncle	1559	2955	0	0	0	0	0	
square	1458	2432	0	0	0	0	0	
captain	733	2956	0	0	0	0	0	
sigh	2847	2957	0	0	0	0	0	
attribute	3290	2958	0	0	0	0	0	
dare	1994	2959	0	0	0	0	0	
okay	1207	1479	0	0	0	0	0	
homeless	2264	2960	0	0	0	0	0	
cool	800	1306	0	0	0	0	0	
gallery	2197	2961	0	0	0	0	0	
soccer	2868	2962	0	0	0	0	0	
defendant	3833	2963	0	0	0	0	0	
