The	frequency	distribution	attribute	'lemma'	in	corpus	'internet-en'	For	more	information	visit	http://corpus.leeds.ac.uk/list.html	2005	-	corpus	size:	181376006	tokens	-	lexicon	size:	1701333	types
1	the	48951.33																					
2	be	29621.79																					
3	of	25683.44																					
4	and	23546.3																					
5	to	23346.43																					
6	a	17681.24																					
7	in	15764.7																					
8	that	9519.04																					
9	for	8810.37																					
10	have	8273.81																					
11	it	6489.3																					
12	on	6116.13																					
13	i	6046.45																					
14	with	5538.63																					
15	not	5278.38																					
16	as	5257.18																					
17	you	5203.2																					
18	this	5085.03																					
19	by	4660.08																					
20	or	4447.49																					
21	at	3858.15																					
22	do	3835.19																					
23	from	3602.57																					
24	we	3137.93																					
25	an	3087.14																					
26	will	2952.51																					
27	they	2792.55																					
28	but	2789.07																					
29	all	2408.52																					
30	he	2406.24																					
31	your	2278.69																					
32	if	2262.42																					
33	can	2259.64																					
34	their	2223.79																					
35	one	2194.04																					
36	more	2154.74																					
37	which	2038.81																					
38	use	2016.77																					
39	about	1934.03																					
40	other	1904.21																					
41	make	1864.81																					
42	his	1862.58																					
43	what	1826.61																					
44	there	1818.17																					
45	would	1772.09																					
46	who	1706.41																					
47	my	1664.48																					
48	say	1648.28																					
49	so	1629.29																					
50	when	1609.67																					
51	time	1606.78																					
52	new	1551.58																					
53	our	1441.86																					
54	get	1440.43																					
55	some	1426.81																					
56	work	1408.42																					
57	may	1379																					
58	out	1376.56																					
59	year	1375.45																					
60	also	1359.99																					
61	people	1359.07																					
62	good	1345.53																					
63	no	1342.76																					
64	go	1333.13																					
65	up	1306.79																					
66	these	1281.99																					
67	than	1253.31																					
68	take	1252.76																					
69	any	1210.03																					
70	see	1206.58																					
71	its	1191.35																					
72	how	1189.61																					
73	them	1149.74																					
74	only	1119.28																					
75	like	1115.45																					
76	into	1100.58																					
77	know	1054.96																					
78	need	1029.2																					
79	should	1011.64																					
80	just	999.72																					
81	most	981.78																					
82	first	981.14																					
83	such	966.22																					
84	her	966.18																					
85	me	964.21																					
86	find	962.5																					
87	many	927.04																					
88	give	909.35																					
89	way	907.72																					
90	information	899.02																					
91	Â	898.85																					
92	she	892.33																					
93	well	890.67																					
94	think	879.81																					
95	include	876.58																					
96	now	874.55																					
97	two	870.67																					
98	over	866.34																					
99	could	865.78																					
100	then	861.76																					
101	because	848.7																					
102	us	846.55																					
103	|	840.33																					
104	very	833.67																					
105	come	833.05																					
106	after	813.88																					
107	day	786																					
108	those	777.83																					
109	even	769.59																					
110	right	762.32																					
111	state	753.64																					
112	system	741.02																					
113	where	738.2																					
114	want	734.66																					
115	book	723.23																					
116	through	719.09																					
117	world	715.23																					
118	look	712.87																					
119	$	699.78																					
120	service	688.27																					
121	post	682.57																					
122	much	680.6																					
123	change	674.91																					
124	back	666.44																					
125	student	662.4																					
126	help	660.95																					
127	programme	657.24																					
128	life	653.87																					
129	call	651.71																					
130	school	651.45																					
131	being	647.65																					
132	each	643.96																					
133	child	637.38																					
134	here	634.62																					
135	thing	633.21																					
136	must	628.67																					
137	part	626.38																					
138	great	622.45																					
139	group	610.25																					
140	high	608.86																					
141	number	608.48																					
142	before	601.1																					
143	show	599.21																					
144	between	598.9																					
145	report	590.97																					
146	own	579.71																					
147	him	567.46																					
148	while	563.29																					
149	place	562.97																					
150	support	557.62																					
151	issue	557.01																					
152	long	556.02																					
153	become	550.99																					
154	follow	548.33																					
155	case	545.19																					
156	company	543.19																					
157	same	538.13																					
158	both	537.78																					
159	problem	536.98																					
160	government	536.46																					
161	question	530.87																					
162	member	529.01																					
163	point	527.53																					
164	area	522.99																					
165	site	522.72																					
166	business	522.44																					
167	under	521.15																					
168	public	520.74																					
169	man	519.96																					
170	country	504.5																					
171	page	496.64																					
172	read	493																					
173	home	490.91																					
174	provide	489.97																					
175	result	488.76																					
176	still	487.21																					
177	last	483.29																					
178	start	481.32																					
179	study	473.26																					
180	mean	470.89																					
181	tell	465.76																					
182	order	465.24																					
183	try	464.84																					
184	another	464.01																					
185	research	463.88																					
186	æ	458.49																					
187	however	456.96																					
188	during	456.65																					
189	ask	454.44																					
190	set	453.69																					
191	end	448.55																					
192	down	446.02																					
193	law	444.12																					
194	health	443.83																					
195	without	441.11																					
196	form	438.16																					
197	write	438.01																					
198	level	434.85																					
199	family	433.76																					
200	example	433.43																					
