rank	word	count
1	you	1222421 (see also ya)
2	I or I.	1052546
3	to	823661
4	the	770161
5	a or A.	563578
6	and	480214
7	that	413389
8	it	388320
9	of	332038
10	me	312326
11	what	285826
12	is	282222
13	in	266544
14	this	249860
15	know	241548
16	I'm	230304
17	for	216535
18	no	212463
19	have	210523
20	my	210429
21	don't	206663
22	just	196810
23	not	195058
24	do	194183
25	be	191823
26	on	191646
27	your	188060
28	was	184170
29	we	181863
30	it's	176919
31	with	169586
32	so	169088
33	but	159109
34	all	158281
35	well	155201
36	are	152650
37	he	150009
38	oh	148780 (see also o)
39	about	142750
40	right	137218
41	you're	135738
42	get	126849
43	here	124368
44	out	121867
45	going	121435
46	like	121194
47	yeah	121148 (see also ya)
48	if	120553
49	her	116265
50	she	110122
51	can	107652
52	up	103826
53	want	102822
54	think	102403
55	that's	102146
56	now	100909
57	go	100905
58	him	96536
59	at	93433
60	how	87908
61	got	86085
62	there	85662
63	one	84057
64	did	79053
65	why	78554
66	see	75968
67	come	72807
68	good	72798
69	they	69192
70	really	68311
71	as	67977
72	would	67718
73	look	67262
74	when	65117
75	time	64891
76	will	64811
77	okay	63509	(see also ok)
78	back	63115
79	can't	62602
80	mean	61504
81	tell	61352
82	I'll	61169
83	from	59972
84	hey	58699
85	were	58127
86	he's	57551
87	could	57285
88	didn't	56732
89	yes	55828
90	his	55502
91	been	55235
92	or	55062
93	something	54736
94	who	53799
95	because	53566
96	some	53265
97	had	52561
98	then	52197
99	say	50213
100	ok	49968	(see also okay)
101	take	49868
102	an	49832
103	way	49794
104	us	49492
105	little	47885
106	make	46154
107	need	46040
108	gonna	45124
109	never	44728
110	we're	43491
111	too	43360
112	love	42994
113	she's	42795
114	I've	42160
115	sure	40757
116	them	40366
117	more	40239
118	over	40001
119	our	39896
120	sorry	39854
121	where	39330
122	what's	39305
123	let	38858
124	thing	38121
125	am	37814
126	maybe	37653
127	down	37644
128	man	37355
129	has	37145
130	uh	36435
131	very	36140
132	by	35500
133	there's	35242
134	should	34829
135	anything	34635
136	said	34568
137	much	34270
138	any	34203
139	life	34192
140	even	33895
141	off	33887
142	please	33628
143	doing	32831
144	thank	31728
145	give	31073
146	only	30599
147	thought	30211
148	help	29825
149	two	29788
150	talk	28834
151	people	28517
152	god	28502
153	still	28308
154	wait	27920
155	into	27354
156	find	26757
157	nothing	26592
158	again	26472
159	things	26305
160	let's	26132
161	doesn't	25926
162	call	25880
163	told	25594
164	great	25435
165	before	25329
166	better	25282
167	ever	25127
168	night	24900
169	than	24815
170	away	24543
171	first	24509
172	believe	24210
173	other	23936
174	feel	23850
175	everything	23714
176	work	23683
177	you've	23483
178	fine	22993
179	home	22901
180	after	22182
181	last	21965
182	these	21929
183	day	21860
184	keep	21842
185	does	21731
186	put	21617
187	around	21591
188	stop	21341
189	they're	21309
190	I'd	21221
191	guy	21126
192	long	21086
193	isn't	20796
194	always	20581
195	listen	20142
196	wanted	20074
197	Mr.	20053
198	guys	19953
199	huh	19871
200	those	19849
201	big	19520
202	lot	19421
203	happened	19282
204	thanks	19233
205	won't	19208
206	trying	19173
207	kind	19031
208	wrong	19025
209	through	18903
210	talking	18875
211	made	18872
212	new	18860
213	being	18666
214	guess	18473
215	hi	18285
216	care	18042
217	bad	17636
218	mom	17514
219	remember	17266
220	getting	17199
221	we'll	17077
222	together	17074
223	dad	17003
224	leave	16978
225	mother	16855
226	place	16796
227	understand	16724
228	wouldn't	16615
229	actually	16585
230	hear	16523
231	baby	16514
232	nice	16275
233	father	16233
234	else	16214
235	stay	16167
236	done	16010
237	wasn't	16007
238	their	15907
239	course	15866
240	might	15774
241	mind	15364
242	every	15350
243	enough	15322
244	try	15235
245	hell	15191
246	came	15142
247	someone	15035
248	you'll	14958
249	own	14849
250	family	14765
251	whole	14623
252	another	14541
253	house or House	14458
254	Jack or jack	14324
255	yourself	14291
256	idea	14203
257	ask	14194
258	best	14094
259	must	14089
260	coming	14082
261	old	14041
262	looking	13843
263	woman	13734
264	hello	13655
265	which	13652
266	years	13526
267	room	13467
268	money	13456
269	left	13428
270	knew	13357
271	tonight	13305
272	real	13161
273	son	13131
274	hope	13093
275	name	13044
276	same	13024
277	went	12892
278	um	12883
279	hmm	12819
280	happy	12788
281	pretty	12746
282	saw	12707
283	girl	12641
284	sir	12557
285	show	12392
286	friend	12245
287	already	12233
288	saying	12204
289	may or May	12199
290	next	12147
291	three	12088
292	job	12047
293	problem	11931
294	minute	11903
295	found	11875
296	world	11754
297	thinking	11721
298	haven't	11699
299	heard	11692
300	honey	11659
301	matter	11578
302	myself	11559
303	couldn't	11550
304	exactly	11502
305	having	11481
306	ah	11347
307	probably	11332
308	happen	11273
309	we've	11200
310	hurt	11145
311	boy	11050
312	both	11035
313	while	11006
314	dead	11002
315	gotta	11000
316	alone	10813
317	since	10757
318	excuse	10747
319	start	10704
320	kill	10676
321	hard	10608
322	you'd	10577
323	today	10561
324	car	10485
325	ready	10461
326	until	10432
327	without	10421
328	whatever	10363
329	wants	10269
330	hold	10254
331	wanna	10250
332	yet	10225
333	seen	10192
334	deal	10143
335	took	10083
336	once	9931
337	gone	9877
338	called	9871
339	morning	9823
340	supposed	9818
341	friends	9814
342	head	9794
343	stuff	9709
344	most	9699
345	used	9623
346	worry	9620
347	second	9605
348	part	9518
349	live	9507
350	truth	9470
351	school	9443
352	face	9441
353	forget	9322
354	true	9296
355	business	9295
356	each	9277
357	cause	9277
358	soon	9261
359	knows	9217
360	few	9164
361	telling	9129
362	wife	9125
363	who's	9109
364	use	9096
365	chance	9081
366	run	9076
367	move	9073
368	anyone	9050
369	person	8997
370	bye	8969
371	J.	8942
372	somebody	8923
373	Dr. or dr.	8917
374	heart	8824
375	such	8813
376	miss	8806
377	married	8798
378	point	8707
379	later	8636
380	making	8623
381	meet	8608
382	anyway	8517
383	many	8504
384	phone	8424
385	reason	8395
386	damn	8367
387	lost	8348
388	looks	8337
389	bring	8320
390	case	8287
391	turn	8264
392	wish	8262
393	tomorrow	8254
394	kids	8247
395	trust	8187
396	check	8185
397	change	8176
398	end	8171
399	late	8164
400	anymore	8160
401	five	8137
402	least	8119
403	town	8099
404	aren't	8065
405	ha	8033
406	working	8016
407	year	8013
408	makes	8001
409	taking	7996
410	means	7980
411	brother	7952
412	play	7883
413	hate	7839
414	ago	7836
415	says	7821
416	beautiful	7813
417	gave	7759
418	fact	7654
419	crazy	7650
420	party	7633
421	sit	7625
422	open	7598
423	afraid	7587
424	between	7585
425	important	7582
426	rest	7417
427	fun	7404
428	kid	7380
429	word	7355
430	watch	7310
431	glad	7277
432	everyone	7214
433	days	7213
434	sister	7188
435	minutes	7185
436	everybody	7163
437	bit	7158
438	couple	7150
439	whoa	7081
440	either	7075
441	Mrs.	7064
442	feeling	7058
443	daughter	7057
444	wow	7036
445	gets	7023
446	asked	7009
447	under	6999
448	break	6941
449	promise	6926
450	door	6907
451	set	6878
452	close	6877
453	hand	6872
454	easy	6848
455	question	6841
456	doctor	6841
457	tried	6830
458	far	6728
459	walk	6619
460	needs	6555
461	trouble	6510
462	mine	6503
463	though	6502
464	times	6475
465	different	6464
466	killed	6390
467	hospital	6378
468	anybody	6376
469	Sam or SAM	6354
470	alright	6348
471	wedding	6334
472	shut	6294
473	able	6289
474	die	6280
475	perfect	6276
476	police	6260
477	stand	6257
478	comes	6256
479	hit	6248
480	story	6231
481	ya	6212 (see also you, yeah)
482	mm	6192 (see also mmm)
483	waiting	6132
484	dinner	6099
485	against	6064
486	funny	6054
487	husband	6038
488	almost	6037
489	stupid	6020
490	pay	6016
491	answer	6016
492	four	6014
493	office	5955
494	cool	5954
495	eyes	5950
496	news	5936
497	child	5913
498	shouldn't	5874
499	half	5819
500	side	5813
501	yours	5805
502	moment	5770
503	sleep	5747
504	read	5743
505	where's	5711
506	started	5707
507	young	5680
508	men	5678
509	sounds	5665
510	sonny or Sonny	5635
511	lucky	5631
512	pick	5610
513	sometimes	5596
514	'em	5590
515	bed	5589
516	also	5583
517	date	5581
518	line	5564
519	plan	5557
520	hours	5503
521	lose	5459
522	fire	5452
523	free	5433
524	hands	5428
525	serious	5390
526	Leo	5390
527	shit	5388
528	behind	5388
529	inside	5379
530	high	5377
531	ahead	5364
532	week	5356
533	wonderful	5341
534	T.	5329
535	fight	5326
536	past	5315
537	cut	5305
538	quite	5304
539	number	5289
540	he'll	5262
541	sick	5256
542	S.	5255
543	it'll	5217
544	game	5212
545	eat	5202
546	nobody	5195
547	goes	5194
548	death	5165
549	along	5147
550	save	5144
551	seems	5138
552	finally	5118
553	lives	5095
554	worried	5066
555	upset	5064
556	Theresa	5056
557	Carly	5055
558	Ethan	5033
559	met	5032
560	book	5027
561	brought	5010
562	seem	5001
563	sort	5000
564	safe	4999
565	living	4999
566	children	4944
567	weren't	4896
568	leaving	4889
569	front	4868
570	shot	4866
571	loved	4851
572	asking	4851
573	running	4842
574	clear	4836
575	figure	4785
576	hot	4777
577	felt	4748
578	six	4737
579	parents	4725
580	drink	4706
581	absolutely	4704
582	how's	4652
583	daddy	4641
584	sweet	4628
585	alive	4628
586	Paul	4616
587	sense	4597
588	meant	4596
589	happens	4589
590	David	4589
591	special	4573
592	bet	4548
593	blood	4542
594	ain't	4541
595	kidding	4539
596	lie	4536
597	full	4533
598	meeting	4532
599	dear	4516
600	coffee	4499
601	seeing	4495
602	sound	4488
603	fault	4484
604	water	4469
605	fuck	4453
606	ten	4448
607	women	4441
608	John or john	4413
609	welcome	4373
610	buy	4345
611	months	4333
612	hour	4325
613	speak	4322
614	lady	4301
615	Jen	4301
616	thinks	4298
617	Christmas	4284
618	body	4271
619	order	4270
620	outside	4260
621	hang	4243
622	possible	4228
623	worse	4218
624	company	4209
625	mistake	4185
626	ooh	4184
627	handle	4181
628	spend	4175
629	C.	4166
630	totally	4157
631	giving	4143
632	control	4134
633	here's	4130
634	marriage	4129
635	realize	4114
636	D.	4108
637	power	4094
638	president	4086
639	unless	4078
640	sex	4049
641	girls	4048
642	send	4045
643	needed	4043
644	O. or o	4030 (see also oh)
645	taken	3997
646	died	3996
647	scared	3991
648	picture	3984
649	talked	3975
650	Jake	3962
651	Al	3958
652	ass	3947
653	hundred	3942
654	changed	3929
655	completely	3919
656	explain	3913
657	playing	3899
658	certainly	3895
659	sign	3890
660	boys	3888
661	relationship	3880
662	Michael	3878
663	loves	3876
664	fucking	3843
665	hair	3839
666	lying	3837
667	choice	3828
668	anywhere	3821
669	secret	3810
670	future	3798
671	weird	3797
672	luck	3792
673	she'll	3780
674	Max or max.	3773
675	Luis	3773
676	turned	3770
677	known	3757
678	touch	3755
679	kiss	3750
680	Crane or crane	3744
681	questions	3741
682	obviously	3741
683	wonder	3735
684	pain	3720
685	calling	3714
686	somewhere	3707
687	throw	3697
688	straight	3695
689	Grace or grace	3693
690	cold	3690
691	white or White	3665
692	fast	3661
693	Natalie	3660
694	words	3647
695	R.	3636
696	food	3632
697	none	3615
698	drive	3607
699	feelings	3603
700	they'll	3593
701	worked	3577
702	marry	3564
703	light	3554
704	test	3547
705	drop	3546
706	cannot	3537
707	Frank	3525
708	sent	3524
709	city	3515
710	dream	3471
711	protect	3465
712	twenty	3463
713	class	3458
714	Lucy	3450
715	surprise	3439
716	its	3439
717	sweetheart	3434
718	forever	3432
719	poor	3431
720	looked	3431
721	mad	3407
722	except	3406
723	gun	3396
724	y'know	3395
725	dance	3394
726	takes	3386
727	appreciate	3379
728	especially	3376
729	situation	3359
730	besides	3355
731	weeks	3350
732	pull	3340
733	himself	3331
734	hasn't	3318
735	act	3307
736	worth	3303
737	Sheridan	3299
738	amazing	3294
739	top	3283
740	given	3283
741	expect	3277
742	Ben	3262
743	rather	3241
744	Julian	3240
745	involved	3240
746	swear	3239
747	piece	3239
748	busy	3229
749	law	3225
750	decided	3224
751	black or Black	3217
752	Joey	3216
753	happening	3210
754	movie	3209
755	we'd	3205
756	catch	3194
757	Antonio	3188
758	country	3187
759	less	3173
760	perhaps	3165
761	step	3161
762	fall	3157
763	watching	3152
764	kept	3152
765	darling	3146
766	dog	3141
767	Ms.	3131
768	win	3126
769	air	3126
770	honor	3106
771	personal	3103
772	moving	3102
773	till	3091
774	admit	3091
775	problems	3090
776	murder	3089
777	strong	3088
778	he'd	3087
779	evil	3078
780	definitely	3068
781	feels	3067
782	information	3063
783	honest	3063
784	eye	3063
785	broke	3044
786	missed	3043
787	longer	3043
788	dollars	3042
789	tired	3029
790	Jason	3026
791	George	3013
792	evening	2998
793	human	2986
794	starting	2984
795	Ross	2981
796	red	2976
797	entire	2976
798	trip	2975
799	Brooke	2969
800	E.	2964
801	club	2963
802	Niles	2956
803	suppose	2952
804	calm	2948
805	imagine	2946
806	Todd	2943
807	fair	2941
808	caught	2933
809	B.	2928
810	blame	2923
811	street	2920
812	sitting	2920
813	favor	2920
814	apartment	2920
815	court	2919
816	terrible	2914
817	clean	2914
818	Tony or tony	2913
819	learn	2912
820	Alison	2910
821	Rick	2909
822	works	2903
823	Rose or rose	2890
824	Frasier	2887
825	relax	2877
826	York	2873
827	million	2873
828	charity	2865
829	accident	2860
830	wake	2857
831	prove	2852
832	Danny	2848
833	smart	2847
834	message	2846
835	missing	2845
836	forgot	2845
837	small	2843
838	interested	2838
839	table	2835
840	nbsp	2824
841	become	2816
842	Craig	2810
843	mouth	2807
844	pregnant	2805
845	middle	2802
846	Billy or billy	2797
847	ring	2786
848	careful	2785
849	shall	2779
850	dude	2775
851	team	2773
852	ride	2768
853	figured	2766
854	wear	2765
855	shoot	2759
856	stick	2753
857	Ray or ray	2752
858	follow	2752
859	Bo	2751
860	angry	2747
861	instead	2744
862	buddy	2743
863	write	2741
864	stopped	2719
865	early	2719
866	Angel or angel	2701
867	Nick or nick	2699
868	ran	2692
869	war	2690
870	standing	2690
871	forgive	2690
872	jail	2684
873	wearing	2678
874	Miguel	2678
875	ladies	2670
876	kinda	2662
877	lunch	2660
878	Cristian	2659
879	eight	2655
880	Greenlee	2654
881	gotten	2640
882	hoping	2639
883	Phoebe	2638
884	thousand	2633
885	ridge	2633
886	music	2631
887	Luke	2614
888	paper	2607
889	tough	2606
890	tape	2605
891	Emily	2595
892	state	2592
893	count	2589
894	college	2589
895	boyfriend	2589
896	proud	2586
897	agree	2584
898	birthday	2580
899	bill	2572
900	seven	2569
901	they've	2566
902	Timmy	2565
903	history	2564
904	share	2563
905	offer	2563
906	hurry	2559
907	ow	2557
908	feet	2555
909	wondering	2549
910	simple	2549
911	decision	2548
912	building	2546
913	ones	2539
914	finish	2535
915	voice	2530
916	herself	2530
917	Chris	2529
918	would've	2523
919	list	2518
920	Kay	2517
921	mess	2516
922	deserve	2516
923	evidence	2514
924	cute	2504
925	Jerry	2503
926	dress	2501
927	Richard	2499
928	interesting	2497
929	Jesus	2487
930	James	2478
931	hotel	2463
932	enjoy	2463
933	Ryan	2461
934	Lindsay	2461
935	quiet	2454
936	concerned	2452
937	road	2448
938	Eve or eve	2445
939	staying	2443
940	short	2440
941	M.	2440
942	beat	2440
943	sweetie	2439
944	mention	2434
945	clothes	2434
946	finished	2423
947	fell	2419
948	neither	2417
949	mmm	2414 (see also mm)
950	fix	2414
951	Victor or victor	2412
952	respect	2410
953	spent	2406
954	prison	2401
955	attention	2397
956	holding	2394
957	calls	2389
958	near	2386
959	surprised	2381
960	bar	2376
961	Beth	2375
962	pass	2374
963	keeping	2371
964	gift	2371
965	hadn't	2369
966	putting	2366
967	dark	2361
968	self	2358
969	owe	2354
970	using	2345
971	Nora	2345
972	ice	2345
973	helping	2342
974	bitch	2341
975	normal	2339
976	aunt	2339
977	lawyer	2338
978	apart	2336
979	certain	2333
980	plans	2327
981	Jax	2326
982	girlfriend	2325
983	floor	2325
984	whether	2316
985	everything's	2316
986	present	2313
987	earth	2312
988	private	2311
989	Jessica	2310
990	box	2304
991	Dawson	2303
992	cover	2298
993	judge	2294
994	upstairs	2293
995	Alexis	2287
996	Shawn	2281
997	sake	2281
998	mommy	2281
999	possibly	2280
1000	worst	2276
1001	station	2276
1002	acting	2276
1003	accept	2271
1004	blow	2268
1005	strange	2266
1006	saved	2266
1007	Ivy or ivy	2266
1008	conversation	2266
1009	plane	2259
1010	mama	2257
1011	yesterday	2254
1012	lied	2251
1013	quick	2249
1014	lately	2249
1015	stuck	2240
1016	lovely	2239
1017	security	2237
1018	report	2236
1019	Barbara	2235
1020	difference	2227
1021	rid	2226
1022	tv or TV	2225
1023	Adam	2219
1024	store	2217
1025	she'd	2209
1026	bag	2209
1027	Mike	2205
1028	bought	2201
1029	ball	2200
1030	single	2195
1031	Kevin	2192
1032	doubt	2191
1033	listening	2186
1034	major	2181
1035	walking	2180
1036	cops	2180
1037	blue	2180
1038	deep	2167
1039	dangerous	2162
1040	Buffy	2162
1041	park or Park	2160
1042	sleeping	2154
1043	Chloe	2154
1044	Rafe	2149
1045	shh	2142
1046	record	2140
1047	lord	2139
1048	Erica	2139
1049	moved	2127
1050	join	2126
1051	key	2125
1052	captain	2117
1053	card	2113
1054	crime	2110
1055	gentlemen	2096
1056	willing	2089
1057	window	2084
1058	return	2081
1059	walked	2075
1060	guilty	2072
1061	Brenda	2072
1062	likes	2070
1063	fighting	2066
1064	difficult	2065
1065	soul	2063
1066	joke	2062
1067	service	2056
1068	magic	2053
1069	favorite	2052
1070	uncle	2050
