name	pronounciation	pronounciationAm	frequency	similarWords	meaningShort	meaningLong	meaningOther	soundUrl	exampleSoundUrl	viewTime	viewInterval	easiness	TotalViewed	StartTime
the	[ðə]		1	 they them then thee						0	-2147483648	-2147483648	-2147483648	0
be	[bi]		2		"To be is to exist, or to take place. As Hamlet best put it: ""To be or not to be, that is the question."""					0	-2147483648	-2147483648	-2147483648	0
and	[ənd]		3	 DNA hand land band sand						0	-2147483648	-2147483648	-2147483648	0
of	[əv]		4							0	-2147483648	-2147483648	-2147483648	0
a	[ə]		5							0	-2147483648	-2147483648	-2147483648	0
in	[ɪn]		6	 inn	When one thing is in another, it is surrounded by or within it, the way chocolate chips are in a bowl of cookie batter.					0	-2147483648	-2147483648	-2147483648	0
to	[tə]		7							0	-2147483648	-2147483648	-2147483648	0
have	[həv]		8	 haven shave heave halve save wave hate cave pave haze hale	To have something means you possess it somehow. You may have a big house or have a lot of freckles on your nose.					0	-2147483648	-2147483648	-2147483648	0
it	[ɪt]		9							0	-2147483648	-2147483648	-2147483648	0
I	[aɪ]		10	 eye aye						0	-2147483648	-2147483648	-2147483648	0
that	[ðæt]		11	 what than hat chat Thai thaw						0	-2147483648	-2147483648	-2147483648	0
for	[fə(r)]		12	 four form fork fort ford						0	-2147483648	-2147483648	-2147483648	0
you	[ju]		13	 your						0	-2147483648	-2147483648	-2147483648	0
he	[hi:]		14	 eh						0	-2147483648	-2147483648	-2147483648	0
with	[wɪð]		15	 witch width wish wit						0	-2147483648	-2147483648	-2147483648	0
on	[ɒn]		16	 no						0	-2147483648	-2147483648	-2147483648	0
do	[du:]		17		To do is to act, perform, or undertake. When you do chores, you engage in the activity of cleaning the kitchen or taking out the trash.					0	-2147483648	-2147483648	-2147483648	0
say	[seɪ]		18	 stay sway	To have your say means to get an opportunity to deliver your opinion on something. If you're at a loud and hostile town council meeting, you might not get a chance to have your say unless you shout it.					0	-2147483648	-2147483648	-2147483648	0
this	[ðɪs]		19	 shit his thus thin						0	-2147483648	-2147483648	-2147483648	0
they	[ðeɪ]		20	 the them then hey thy thee						0	-2147483648	-2147483648	-2147483648	0
at	[ət]		21							0	-2147483648	-2147483648	-2147483648	0
but	[bət]		22	 tub butt bout bust	"But is the word that turns a corner in a sentence. If a sentence starts out in one direction, but can change that direction. For example: ""I like you, but I never want to see you again."""					0	-2147483648	-2147483648	-2147483648	0
we	[wi]		23							0	-2147483648	-2147483648	-2147483648	0
his	[hɪz]		24	 this hiss						0	-2147483648	-2147483648	-2147483648	0
from	[frəm]		25	 form frog prom						0	-2147483648	-2147483648	-2147483648	0
not	[nɒt]		26	 knot ton note	The adverb not is used for negation. Do you like drinking cod liver oil? No, I do not like drinking cod liver oil.					0	-2147483648	-2147483648	-2147483648	0
by	[baɪ]		27	 buy	By means near, beside, or past. When your friend rides by on her bike, she passes close to you.					0	-2147483648	-2147483648	-2147483648	0
she	[ʃi:]		28	 shoe shed						0	-2147483648	-2147483648	-2147483648	0
or	[ɔː(r)]		29							0	-2147483648	-2147483648	-2147483648	0
as	[əz]		30		As is an adverb that's usually used to compare one thing to another. You could say, for example, that your cat is as smart as your sister.					0	-2147483648	-2147483648	-2147483648	0
what	[wɒt]		31	 thaw wheat that hat chat						0	-2147483648	-2147483648	-2147483648	0
